Date,Person_ID,Age,Gender,Sleep Start Time,Sleep End Time,Total Sleep Hours,Sleep Quality,Exercise (mins/day),Caffeine Intake (mg),Screen Time Before Bed (mins),Work Hours (hrs/day),Productivity Score,Mood Score,Stress Level
6/9/2024,6914,57,Female,22.73,4.92,6.19,10,69,5,27,5.157026705,9,1,8
12/13/2024,1670,51,Male,23.23,3.98,4.74,4,7,200,57,10.25567982,7,10,4
2/5/2024,2476,50,Male,23.55,7.71,8.16,3,36,152,85,5.412175625,8,5,9
1/22/2024,7304,40,Female,21.88,4,6.11,3,67,84,55,9.108114407,6,8,3
4/11/2024,9880,19,Female,21.13,2.65,5.52,7,8,26,136,5.860548329,4,4,3
5/5/2024,1948,38,Male,23.5,4.87,5.37,2,14,137,47,9.879971506,6,10,7
5/15/2024,1386,42,Female,20.9,4.74,7.84,2,49,94,32,11.31553384,9,7,6
5/5/2024,6291,48,Male,20.25,4.05,7.8,6,77,204,104,11.462233,5,2,4
3/30/2024,1050,57,Female,23.65,6.24,6.59,5,5,169,29,10.41756057,5,3,3
9/23/2024,2223,32,Female,21.02,6,8.98,10,31,254,16,11.83490176,6,10,6
10/24/2024,5349,38,Male,22.98,7.05,8.07,1,89,52,143,4.815200199,5,6,7
9/8/2024,3798,25,Female,20.9,5.11,8.21,3,25,6,16,4.31806034,6,6,2
10/22/2024,9378,33,Female,23.73,5.33,5.6,2,30,258,135,8.019418297,9,7,2
11/28/2024,4012,59,Female,20.07,0.99,4.92,10,14,102,46,10.78234472,6,1,8
11/28/2024,2198,29,Male,20.5,4.6,8.1,2,43,154,98,5.913785709,7,1,3
7/19/2024,3052,36,Male,21.98,4.44,6.46,6,12,156,79,4.000384991,4,2,6
6/4/2024,6836,40,Female,21.35,4.96,7.61,10,66,191,142,5.573108467,5,10,9
10/24/2024,4354,23,Female,23.12,8.06,8.94,5,17,142,153,5.507158139,7,7,2
11/22/2024,5934,46,Female,20.03,2.99,6.96,8,83,180,179,11.39251742,7,4,8
7/10/2024,3786,52,Female,20.63,4.04,7.4,7,61,223,36,5.908774878,7,7,9
2/3/2024,5644,58,Female,22.35,7.28,8.93,10,38,259,143,5.736449835,3,9,1
8/27/2024,5008,34,Male,23.72,9.06,9.34,10,54,156,1,11.60168965,7,10,8
11/10/2024,4787,24,Male,21.53,2.55,5.02,2,70,131,19,7.623066883,4,1,8
1/24/2024,4075,20,Female,20.8,4,7.2,8,22,68,94,5.02293441,9,9,9
1/21/2024,4791,43,Male,21.7,3.18,5.48,8,50,245,127,5.273272255,5,5,6
8/31/2024,2715,57,Female,23.77,5.83,6.07,8,5,288,132,6.754358177,3,2,10
8/23/2024,5403,56,Male,23.42,7.79,8.38,8,9,94,154,10.89577662,5,5,5
3/1/2024,9028,27,Female,20.58,1.38,4.8,5,17,243,54,6.340796113,6,2,9
7/29/2024,5079,29,Male,21.85,3.43,5.58,3,52,182,78,8.573893661,7,7,3
8/2/2024,6896,19,Female,20.57,2.57,6.01,5,86,156,12,10.03818031,7,7,10
11/3/2024,7676,26,Male,20.48,1.75,5.26,8,47,45,96,8.14871406,5,9,3
5/3/2024,4602,24,Female,23.2,7.99,8.79,9,74,60,25,4.603297408,7,3,6
11/5/2024,7233,22,Male,21.02,3.03,6.01,1,64,285,46,6.501661906,5,10,9
8/22/2024,7254,43,Female,20.48,1.94,5.45,9,49,158,75,7.550686598,5,6,8
6/7/2024,4654,59,Male,21.92,7.23,9.31,4,6,171,119,8.211993553,7,6,6
2/21/2024,6116,49,Female,20.37,3.89,7.52,4,12,159,70,6.318011623,6,2,10
2/16/2024,9078,57,Female,21.98,5.96,7.98,2,6,258,26,6.215235899,8,6,1
7/14/2024,5694,49,Female,22.15,5.26,7.11,4,33,87,145,4.614795695,5,9,9
10/16/2024,2354,20,Female,21.08,4.4,7.32,4,20,257,89,9.505395494,10,7,10
7/2/2024,1673,34,Female,20.02,2.88,6.86,9,9,292,175,5.056787214,8,7,4
1/27/2024,7782,51,Female,23.72,6.04,6.32,2,15,187,46,9.141590301,8,6,8
4/12/2024,9521,53,Male,21.78,6.21,8.43,1,1,262,104,10.31006819,9,1,7
7/14/2024,6322,38,Female,21.57,4.98,7.41,5,29,212,37,9.98717085,6,8,2
10/31/2024,5879,49,Male,21.6,2.21,4.61,8,46,291,117,11.20120801,7,10,1
2/23/2024,2775,56,Male,21.25,6.61,9.36,2,69,219,33,5.200154894,4,5,9
8/23/2024,7890,29,Male,21.92,3.38,5.47,2,15,44,128,6.173875211,5,3,2
2/24/2024,6485,53,Female,21.82,6.11,8.29,5,66,281,166,4.270470639,6,8,4
12/5/2024,5607,35,Male,23.43,4.29,4.85,1,62,159,137,7.592667141,6,9,2
10/30/2024,8675,52,Male,22.2,4.09,5.89,5,46,257,43,6.489904375,7,7,8
3/26/2024,4062,50,Male,23.55,6.07,6.52,9,38,85,176,8.348305739,6,6,2
5/30/2024,8234,20,Female,21.95,3.07,5.12,10,39,255,17,5.010464002,7,3,9
6/5/2024,3380,42,Female,23.85,8.23,8.38,9,52,187,38,8.424583034,7,9,2
10/8/2024,9772,50,Female,20.12,3.21,7.1,1,64,66,173,8.465073265,8,8,3
2/22/2024,8236,57,Male,23.77,7.34,7.58,5,68,51,72,10.31057377,6,5,1
2/28/2024,2832,47,Male,20.78,2.7,5.92,8,64,267,68,11.69491899,6,9,1
8/2/2024,5493,36,Male,22.43,7.54,9.1,7,45,81,143,5.777043419,5,9,6
3/3/2024,8652,20,Male,22.57,4.16,5.59,1,14,4,173,8.403275545,7,3,7
11/28/2024,2689,33,Male,22.77,5.27,6.5,10,27,184,70,11.81588305,8,1,4
10/23/2024,7559,37,Male,21.82,4.55,6.73,7,38,144,44,10.94161678,7,6,6
8/27/2024,8271,36,Male,22.13,5.9,7.77,2,45,1,175,10.70583151,6,8,1
2/1/2024,3044,20,Male,21.18,2.13,4.95,3,3,285,69,7.35860356,8,2,5
10/5/2024,7744,36,Male,22.17,3.69,5.52,10,7,296,163,6.211533525,8,7,9
5/31/2024,2103,26,Male,21.02,6.32,9.3,5,68,261,47,4.57255768,8,5,3
10/25/2024,8244,45,Male,23.92,4.7,4.79,7,50,267,10,9.102193135,6,2,3
2/16/2024,1564,55,Male,22.45,6,7.55,10,47,146,136,11.45878513,6,10,3
5/2/2024,4834,37,Female,22.9,6.78,7.88,7,48,19,28,7.592032477,7,1,8
4/6/2024,6687,50,Male,20.37,4.35,7.98,8,83,190,81,4.337832865,7,8,9
3/24/2024,8856,47,Female,22.43,4.34,5.9,1,39,13,73,9.261244872,8,10,3
12/7/2024,8859,28,Female,22.32,7.76,9.45,5,40,43,94,6.140610404,6,2,1
11/20/2024,8851,50,Male,20.13,5.18,9.05,4,34,215,64,4.201135666,7,8,6
5/4/2024,5913,58,Male,22.27,5.85,7.58,2,34,198,137,6.348654733,9,8,6
12/11/2024,4536,54,Female,23.37,5.83,6.46,3,57,216,24,9.327875909,9,3,7
10/7/2024,5978,50,Male,23.1,4.39,5.29,5,16,51,139,6.948647121,5,5,10
11/3/2024,7851,38,Female,22.23,5.12,6.89,4,87,71,27,7.33644189,6,3,1
12/14/2024,1787,27,Female,23.43,8.76,9.33,4,58,11,115,6.417995159,5,8,7
9/7/2024,1792,52,Female,20.3,2.35,6.05,7,14,214,106,7.281101498,8,2,1
6/21/2024,9970,36,Male,20.93,2.5,5.57,4,0,91,17,4.15338324,8,6,1
7/19/2024,9829,27,Female,22.85,5.32,6.47,5,50,256,96,5.721541859,5,7,8
5/1/2024,7626,34,Female,21.15,3.41,6.26,9,19,14,112,5.422355306,6,8,2
9/9/2024,2812,38,Male,21.95,6.57,8.62,6,86,111,16,5.259623658,6,3,4
5/10/2024,6529,51,Male,22.02,3.68,5.66,4,37,79,131,10.98297182,7,4,10
4/29/2024,4036,56,Female,21.22,5.62,8.4,6,54,289,45,6.792167965,4,6,4
3/25/2024,2935,20,Male,22.33,7.66,9.32,10,41,223,22,8.581364666,3,9,5
8/30/2024,3430,55,Male,23.93,8.6,8.67,6,30,227,115,9.058230139,5,6,3
4/14/2024,9889,18,Male,23.23,8.65,9.42,5,74,196,14,10.73624026,5,8,8
3/8/2024,6581,23,Male,20.38,1.33,4.95,9,28,87,61,6.534721557,5,8,9
5/17/2024,3762,31,Female,22.48,4.25,5.77,10,3,230,138,6.050733827,6,3,5
8/16/2024,8843,20,Male,23.53,5.17,5.63,9,67,268,48,10.65490491,5,5,8
3/28/2024,1712,39,Male,21.4,3.91,6.51,3,26,213,73,9.292728528,9,3,5
2/25/2024,8643,39,Male,20.67,3.98,7.31,3,16,238,33,4.607927966,8,1,1
2/18/2024,9895,22,Female,21.05,1.8,4.75,7,34,128,23,9.836065829,6,9,6
2/10/2024,4255,52,Female,20.27,4.18,7.91,8,69,233,10,8.694020958,8,2,6
9/15/2024,6068,47,Female,21.73,5.72,7.99,3,18,34,45,5.804330639,5,5,4
12/9/2024,7566,56,Male,21.55,2.25,4.7,10,58,216,68,4.073744716,7,5,8
5/11/2024,5274,28,Male,23.02,5.75,6.74,5,83,156,84,6.200322072,7,8,4
3/29/2024,1665,56,Male,21.92,6.82,8.91,5,45,143,15,4.480065541,8,8,3
3/10/2024,9376,43,Male,23.02,4.04,5.02,5,53,70,43,11.07760776,9,4,9
2/27/2024,9287,38,Male,23.83,6.34,6.5,4,70,80,141,4.359144915,6,10,7
3/30/2024,3543,38,Male,23.97,5.25,5.28,6,76,222,179,4.28161165,7,1,10
5/10/2024,2293,53,Male,23.25,3.76,4.51,4,88,293,177,6.92041022,8,8,9
11/30/2024,3234,59,Female,21.37,1.88,4.52,9,44,178,170,11.5997287,8,9,10
7/23/2024,1446,25,Male,21.3,5.09,7.79,9,53,32,107,7.822698372,5,3,9
9/2/2024,8542,41,Female,21.15,4.27,7.12,7,57,14,7,8.297855273,7,3,3
10/8/2024,6026,32,Female,21.25,2.63,5.38,1,39,60,116,10.63683671,4,9,2
8/15/2024,9122,33,Male,21.3,5.43,8.13,8,52,262,9,4.483618125,10,4,6
3/5/2024,4038,47,Male,22.28,5.69,7.4,2,41,138,26,8.001851831,7,8,3
1/18/2024,4516,47,Male,23.87,6.41,6.54,9,78,280,148,6.430904613,8,7,5
5/9/2024,4032,46,Female,20.37,3.22,6.86,3,14,288,179,5.967224341,9,6,3
2/28/2024,3555,19,Male,23,4.09,5.09,9,9,78,58,9.892281827,5,8,6
5/22/2024,9644,53,Female,20.33,5.62,9.28,7,45,185,29,11.13410993,8,5,10
3/31/2024,4058,58,Male,22.32,2.95,4.63,4,63,4,145,4.552807022,9,10,4
9/14/2024,8832,36,Female,22,6.74,8.74,6,44,246,115,4.868222324,9,5,6
3/28/2024,7041,43,Male,22.43,7.77,9.34,7,72,205,4,9.38844047,8,9,7
9/20/2024,2118,58,Female,21.33,3.2,5.87,2,49,193,130,5.676153795,4,7,9
7/17/2024,1506,53,Female,20.1,1.59,5.49,3,11,47,160,8.605047121,6,9,5
10/23/2024,5502,48,Male,20.38,1.94,5.56,9,21,131,76,8.290822485,5,8,10
10/18/2024,1073,24,Female,23.4,4.57,5.17,8,5,128,166,5.675358534,8,9,3
7/13/2024,5094,27,Male,23.23,4.29,5.06,10,51,58,175,4.895106055,7,10,3
8/10/2024,6780,24,Female,20.5,5.76,9.26,6,72,11,37,9.802169625,7,6,4
7/4/2024,6461,31,Male,20.23,2.29,6.06,4,68,61,83,5.293855493,7,7,1
5/10/2024,5254,40,Female,23.27,8.7,9.43,4,34,278,140,9.583272817,5,5,6
5/19/2024,6492,55,Female,20.12,1.05,4.93,8,15,147,37,8.575935562,5,2,8
7/2/2024,6543,48,Female,22.68,5.72,7.04,9,13,253,146,9.780567851,4,10,1
12/16/2024,1960,18,Female,23.78,9.28,9.5,4,82,28,130,6.752867739,7,1,8
8/30/2024,5930,51,Female,20.43,4.62,8.18,7,24,139,114,4.587762338,9,1,8
11/4/2024,8541,19,Male,21.98,3.25,5.27,1,38,15,144,7.872940248,6,2,6
10/13/2024,4856,25,Male,20.32,1.67,5.35,10,50,113,57,4.711647104,7,10,6
3/20/2024,6382,33,Female,21.93,5.57,7.64,8,11,14,7,5.85867166,5,9,7
1/16/2024,3401,18,Male,23.5,5.56,6.06,1,32,127,150,11.62132342,7,10,9
7/7/2024,5864,47,Male,22.62,6.97,8.35,6,68,245,57,11.91389462,5,2,4
10/16/2024,6688,51,Male,20.88,4.13,7.25,6,35,152,90,9.56911597,7,3,10
6/8/2024,6998,25,Female,22.3,5.69,7.39,2,66,219,14,10.24534707,8,2,6
3/22/2024,8807,33,Male,23.45,8.93,9.48,2,57,81,43,9.591539688,5,1,7
12/8/2024,2750,19,Male,22.33,4.11,5.77,5,37,166,59,11.65828487,7,7,1
12/18/2024,2471,45,Female,23.63,6.72,7.08,10,49,49,82,7.853702031,6,5,10
5/14/2024,7975,43,Male,20.52,1.55,5.04,6,19,194,171,10.70257174,6,8,2
2/7/2024,2062,38,Female,23.12,4.9,5.79,5,34,106,31,8.253552988,5,4,4
10/7/2024,8504,32,Male,22.97,6.2,7.23,3,32,80,121,7.669564322,9,6,5
9/24/2024,2539,42,Female,21.48,4.87,7.39,1,30,61,30,4.19964591,5,3,1
6/21/2024,5006,37,Male,22.23,7.11,8.87,7,28,275,169,9.879382769,8,3,9
12/13/2024,9614,38,Female,21.08,4.96,7.88,4,40,59,147,11.60259631,7,4,8
1/26/2024,2885,45,Female,21.12,5.71,8.6,7,53,167,118,6.340871152,5,2,6
11/10/2024,2325,59,Female,20.53,1.16,4.63,10,24,72,142,11.47196293,6,4,1
8/26/2024,8399,53,Female,21.55,3.85,6.3,7,9,184,113,6.905027543,6,2,2
4/13/2024,1140,50,Female,22.05,5.31,7.26,5,0,10,177,6.383726891,7,5,9
3/21/2024,4096,22,Female,23.15,7.99,8.84,3,66,209,118,4.168192695,7,1,1
6/30/2024,1862,41,Male,22.25,5,6.75,10,4,138,156,4.835379569,6,4,2
2/20/2024,4808,22,Female,22.2,6.02,7.82,5,22,73,113,8.134085074,8,4,3
7/2/2024,8908,55,Female,23.33,4.98,5.65,10,8,215,88,6.466905951,7,1,7
8/30/2024,5066,25,Female,23.35,6.9,7.55,9,39,231,16,9.655890627,7,1,9
4/22/2024,1250,33,Male,21.1,2.18,5.08,5,18,85,49,9.194455064,6,5,6
11/15/2024,6717,37,Female,20.85,3.62,6.77,3,76,17,21,7.969881391,6,9,10
6/30/2024,8940,21,Female,22.82,7.87,9.06,10,26,259,127,6.589584256,6,10,3
9/3/2024,2539,46,Male,21.92,3.92,6.01,3,21,55,17,7.578947824,4,4,2
11/30/2024,1589,40,Male,22.72,5.32,6.6,10,42,202,128,5.698860701,8,8,2
2/2/2024,9905,55,Male,20.88,1.43,4.55,9,4,178,53,11.36524908,5,8,1
12/31/2024,5020,35,Female,22.08,2.86,4.78,7,63,296,109,11.8514831,5,8,8
11/7/2024,1362,30,Female,23.02,7.75,8.73,6,27,70,168,7.521021572,9,4,4
4/4/2024,2630,28,Female,21.75,5.91,8.16,1,27,131,167,4.459675056,9,1,2
12/28/2024,5188,48,Female,23.13,8.01,8.87,1,1,5,28,6.016455428,7,2,8
6/30/2024,9372,54,Male,22.67,7.91,9.25,2,41,182,165,4.463217993,6,2,10
10/26/2024,6115,31,Female,22.93,7.76,8.83,3,33,48,63,7.15137527,8,5,10
2/6/2024,7240,56,Female,20,5.35,9.35,1,56,69,179,8.390191191,5,2,5
5/21/2024,7672,46,Female,21.5,5.17,7.67,1,22,209,147,7.211397313,4,9,1
3/23/2024,8963,56,Male,23.93,5.16,5.23,8,84,79,150,5.685445296,5,4,3
4/20/2024,9051,25,Male,20.53,5.96,9.43,4,57,244,172,10.47331981,7,2,1
2/24/2024,1771,32,Male,20.97,3.99,7.02,6,77,34,124,7.006852675,6,9,3
10/8/2024,4157,19,Female,22.42,5.27,6.85,9,18,90,80,6.73104989,7,2,1
12/3/2024,9558,35,Female,21.9,2.96,5.06,2,54,202,146,11.94011696,5,10,6
3/16/2024,3042,28,Male,21.03,5.05,8.02,3,81,292,91,8.713768412,6,10,5
11/1/2024,9450,20,Male,22.18,3.35,5.16,10,22,122,76,10.88994265,6,2,8
4/4/2024,2882,53,Female,20.43,2.23,5.8,8,82,202,40,10.23538691,7,2,5
1/15/2024,2674,51,Female,22.13,7.27,9.14,7,67,114,160,9.536600735,6,4,2
4/13/2024,2924,30,Male,21.15,2.4,5.25,5,22,75,38,11.85185846,8,10,9
7/8/2024,9692,48,Male,20.15,5.32,9.17,2,85,192,76,8.773497873,7,10,8
11/22/2024,4561,42,Male,23.47,7.39,7.92,9,14,245,175,11.76521306,8,1,1
11/26/2024,6971,47,Male,21.45,6.93,9.48,2,12,110,162,8.059619174,8,1,10
6/3/2024,2328,46,Male,21.92,3.22,5.31,2,77,229,78,10.02171645,4,8,9
12/23/2024,7539,48,Female,23.9,9.1,9.2,4,66,128,113,10.9079316,8,1,4
8/8/2024,6091,38,Male,23.33,4.77,5.43,4,64,119,129,5.008928566,9,2,9
11/6/2024,1624,52,Male,23.97,5.96,5.99,3,20,103,64,10.4478233,7,1,5
10/14/2024,6373,22,Female,23.52,5.82,6.3,3,61,222,12,6.149270678,7,9,7
9/19/2024,6530,59,Male,23.42,4.58,5.16,4,16,4,112,4.230457102,7,5,4
11/29/2024,9884,34,Male,20.87,3.29,6.42,2,82,133,75,7.400565964,3,7,1
11/2/2024,1937,36,Female,22.03,6.58,8.55,6,5,120,10,9.563992632,7,7,8
12/17/2024,1195,46,Male,22.27,3.97,5.7,9,26,176,164,8.50690438,7,4,5
6/25/2024,3110,50,Female,22.18,5.89,7.71,7,77,93,44,9.283757771,7,4,10
4/23/2024,2729,53,Male,21.5,6.99,9.49,5,68,296,173,4.160536763,8,1,1
6/16/2024,2074,22,Male,23.25,4.4,5.15,6,10,7,152,10.89947304,8,3,4
9/4/2024,2919,29,Male,20.23,1.59,5.35,2,72,14,98,7.232410384,7,9,3
12/11/2024,2455,34,Male,22.88,7.83,8.94,9,32,281,41,10.94516122,7,8,10
4/9/2024,2620,41,Male,22.12,5,6.88,2,9,48,120,5.471075141,6,10,9
11/17/2024,5288,20,Female,21.92,4.76,6.84,5,3,77,171,7.884200214,4,9,10
8/7/2024,5397,25,Male,20.28,2.87,6.58,10,85,76,149,9.469173856,5,2,8
10/16/2024,2212,34,Female,21.83,5.67,7.83,6,29,170,92,8.079990916,7,4,4
6/16/2024,9210,29,Male,20.73,4.27,7.54,1,44,89,102,11.63226502,5,8,9
4/7/2024,3434,58,Male,23.3,8.52,9.22,4,46,90,43,11.54767174,9,2,5
4/17/2024,3251,32,Male,21.85,3.13,5.28,5,8,215,4,7.373010417,5,4,9
9/29/2024,4579,37,Male,21.08,4.05,6.96,3,22,182,79,5.215221548,6,8,4
6/19/2024,1123,24,Female,22.97,5.07,6.11,2,29,51,175,9.713007462,5,7,6
6/9/2024,9480,25,Male,20.9,6.21,9.31,10,86,81,61,6.701753156,10,1,10
3/16/2024,3292,49,Female,22.95,8,9.05,4,15,83,55,4.146707112,6,8,3
4/9/2024,7704,26,Female,23.92,4.52,4.6,6,42,135,58,10.46350424,4,5,9
9/19/2024,7780,56,Male,20.17,5.62,9.46,3,67,217,101,8.627095336,7,4,8
4/3/2024,3908,24,Male,20.73,4.08,7.35,7,13,173,100,7.574863736,6,8,7
10/17/2024,4313,50,Male,20.72,5.87,9.15,3,53,38,109,8.984186477,6,9,4
12/1/2024,4542,47,Male,22.07,6.11,8.05,3,46,11,26,9.126788982,6,4,7
2/7/2024,5558,23,Female,20.95,2.06,5.11,8,84,108,42,6.196574005,6,6,3
11/6/2024,9434,48,Male,23.38,4.44,5.06,2,83,219,74,10.92405701,6,6,1
10/27/2024,7147,22,Male,20.37,2.45,6.08,5,71,229,106,10.52144186,7,3,1
10/26/2024,3386,33,Female,21.18,4.67,7.49,4,74,213,109,6.833045091,6,7,4
9/26/2024,3543,55,Male,23.92,6.4,6.48,1,56,247,103,4.286427614,2,3,10
1/21/2024,1669,30,Female,23.45,8.36,8.91,7,26,24,130,8.219196977,9,4,2
1/23/2024,6820,24,Female,20.27,4.04,7.77,2,37,140,51,7.455765076,6,9,1
3/22/2024,4654,46,Male,21.98,4.33,6.35,1,65,209,150,6.849364388,9,3,8
1/16/2024,8665,39,Female,21.32,2.67,5.36,2,66,41,135,4.735332646,5,3,1
12/22/2024,6795,21,Male,21.82,2.94,5.12,2,21,65,20,5.746424894,7,7,6
7/2/2024,5924,20,Male,23.03,5.89,6.86,1,58,177,33,8.61470244,6,2,6
6/4/2024,4243,32,Male,22.37,4.46,6.09,10,56,117,99,7.143793803,8,7,2
9/17/2024,9254,52,Male,21.13,2.63,5.5,4,77,216,24,10.31738891,7,7,10
9/23/2024,5517,25,Female,23.57,5.6,6.03,7,13,265,139,5.54296455,7,2,9
9/30/2024,6661,34,Female,20.72,2.27,5.56,7,3,162,75,4.747035769,8,4,2
8/4/2024,5483,51,Male,23.52,7.92,8.4,8,36,230,35,4.944961065,6,6,9
11/6/2024,2177,32,Female,21.53,4.44,6.91,2,11,1,177,7.275032654,7,4,4
9/12/2024,4062,21,Female,23.98,8.85,8.87,8,85,55,38,9.112100754,7,9,2
1/26/2024,7661,35,Male,21.08,3.37,6.28,2,24,47,23,7.92353802,8,10,8
1/16/2024,7073,25,Female,22.08,3.84,5.76,2,41,298,51,8.359858247,4,8,3
9/22/2024,1503,23,Female,20.58,4.45,7.86,10,29,132,137,4.063809339,6,7,1
11/9/2024,6629,27,Female,22.42,7.56,9.14,2,13,210,23,9.44022601,6,4,7
5/21/2024,5999,41,Female,23.63,6.69,7.05,10,9,116,57,9.495279829,7,7,10
8/29/2024,8370,48,Male,21.25,1.87,4.62,7,30,175,125,8.714285823,5,3,1
9/13/2024,3551,20,Female,23.92,9.19,9.28,1,55,95,145,8.136110377,6,7,9
6/30/2024,4853,47,Male,22.43,5.99,7.56,3,5,299,17,4.445996788,4,8,10
2/24/2024,3715,24,Male,23.93,5.4,5.47,2,49,122,47,6.806725417,6,2,1
12/18/2024,1672,22,Female,20.68,5.16,8.48,4,45,230,71,6.954056559,5,7,7
11/17/2024,7710,25,Female,22.02,5.59,7.58,5,0,165,59,10.08699242,8,2,1
10/3/2024,2487,32,Female,20.07,4.95,8.88,6,66,35,160,7.960447565,8,8,5
5/26/2024,1551,23,Female,22.57,6.03,7.46,5,36,216,138,5.417882193,8,1,8
7/3/2024,7041,19,Female,22.75,5.82,7.07,3,12,230,43,5.101872791,7,9,2
9/5/2024,4655,54,Male,21.08,3.13,6.04,9,84,106,151,7.507658244,6,7,4
11/16/2024,9681,18,Male,20.58,2.28,5.7,1,7,13,23,9.602670996,9,9,6
8/31/2024,6473,35,Male,20.98,5.84,8.86,5,57,119,155,8.840013725,8,2,10
8/19/2024,2152,32,Male,21.62,7.02,9.41,5,25,60,122,6.634190713,6,10,3
3/11/2024,3151,59,Male,21.58,6.81,9.23,3,73,249,106,5.336699708,4,6,5
11/7/2024,7705,24,Female,21.82,6.77,8.96,3,6,172,87,5.45461597,7,1,6
12/13/2024,8239,56,Female,21.55,4.43,6.88,3,49,267,53,11.74379012,9,1,7
11/26/2024,7554,57,Female,23.68,6.69,7.01,4,51,281,34,7.097781491,4,2,3
6/1/2024,7875,40,Female,21.53,4.5,6.97,3,73,26,162,10.32319266,7,7,6
1/12/2024,9103,22,Female,22.58,4.49,5.91,8,72,140,146,4.596535233,8,3,1
2/28/2024,5952,41,Male,23.85,4.4,4.55,5,84,165,168,10.31891697,7,6,3
4/25/2024,5107,18,Male,21.15,2.5,5.35,9,49,129,5,9.847973013,6,3,2
12/9/2024,1775,23,Male,22.38,6.57,8.19,8,45,245,76,11.3701097,9,5,8
5/25/2024,3525,30,Female,21.3,2.63,5.33,9,49,13,133,10.24416461,7,6,10
8/19/2024,2289,56,Male,21.18,6.65,9.46,7,44,123,165,5.247495909,6,9,10
10/20/2024,5160,29,Male,23.97,7.81,7.84,7,19,59,167,7.176735058,6,9,4
10/18/2024,1978,39,Male,20.7,3.69,6.99,6,27,159,76,4.858914363,6,5,3
2/22/2024,3384,42,Male,22.58,7.54,8.95,9,48,43,47,4.971698097,6,10,5
7/15/2024,6283,27,Male,21.38,6.7,9.31,5,75,275,114,9.901662507,6,8,10
9/10/2024,3776,49,Male,20.3,1.35,5.05,9,58,292,24,10.62434629,6,1,10
12/17/2024,4809,53,Male,20.87,3.21,6.34,3,37,144,26,11.99755865,7,7,2
1/13/2024,2170,23,Female,23.13,4.09,4.96,6,49,69,138,4.547939175,10,10,8
5/22/2024,5623,23,Male,23.75,6.14,6.39,4,33,12,170,4.26356831,6,7,4
7/29/2024,2881,41,Male,20.47,2.31,5.85,3,86,114,122,9.921593433,6,7,4
3/24/2024,4289,38,Male,22.75,3.26,4.51,10,6,129,25,8.057997659,5,8,10
2/24/2024,6069,57,Male,23.4,4.26,4.86,6,25,295,37,5.253674366,7,8,3
6/3/2024,1658,43,Female,22.5,7.91,9.41,2,43,148,28,9.024679386,6,7,4
11/29/2024,9429,27,Female,21.6,5.46,7.86,1,73,74,46,6.040230427,7,8,6
3/17/2024,8004,44,Male,20.62,2.81,6.2,10,30,85,109,5.697031417,4,3,9
3/12/2024,1219,21,Female,22.27,3.71,5.44,6,35,230,166,9.619953301,8,1,10
8/4/2024,9360,47,Male,20.25,4.49,8.24,7,39,224,113,4.030285869,6,5,5
